"","rank","year","continent","economy","port","port_label","lon","lat","volume"
"317",22,"2008","Asia","China","Xiamen","Xiamen",118.089425,24.479834,5035
"318",16,"2008","North_America","United States","Los Angeles","Los Angeles",-118.2436849,34.0522342,7850
"319",18,"2008","Asia","Malaysia","Tanjung Pelepas","Tanjung Pelepas",103.551035,1.362374,5600
"320",17,"2008","North_America","United States","Long Beach","Long Beach",-118.1937395,33.7700504,6350
"321",21,"2008","Asia","Thailand","Laem Chabang","Laem Chabang",100.9158073,13.1040552,5134
"322",35,"2008","Asia","Vietnam","Ho Chi Minh City (Saigon)","Saigon",106.6296638,10.8230989,3100
"323",19,"2008","Europe","Germany","Bremen/Bremerhaven","Bremen",8.5809424,53.5395845,5529
"324",20,"2008","North_America","United States","New York and New Jersey","New York",-74.0059413,40.7127837,5265
"325",44,"2008","Asia","China","Yingkou","Yingkou",122.108231,40.266062,2030
"326",25,"2008","Asia","Indonesia","Tanjung Priok (Jakarta)","Jakarta",106.8714848,-6.1320555,3984
"327",37,"2008","Asia","China","Lianyungang","Lianyungang",119.221611,34.596653,3001
